Article_Number,Title,Abstract,Keywords,ChatGPT,DeepSeek,Sum
305,QoE-Oriented Cooperative VR Rendering and Dynamic Resource Leasing in Metaverse,"The rise of the Metaverse has ushered in a new era of social networking, offering users deeply engaging spaces to connect and participate in social activities. However, rendering these virtual environments is resource-intensive. With many users accessing simultaneously and requiring diverse Metaverse services, optimizing Metaverse resources to deliver the best quality-of-experience (QoE) for users is a significant challenge. In this paper, we propose a cooperative virtual reality (VR) rendering and dynamic resource leasing mechanism to address this issue. Specifically, we first introduce a cooperative VR scene pre-rendering framework between users and Planets (i.e., edge servers hosting users), and establish a new user QoE metric named EdgeVRQoE which considers both rendering delay and visual quality. We formulate the multidimensional rendering resources (e.g., GPU, CPU, and outbound bandwidth) leasing problem between Planets and users as a double-layer decision problem, and devise a hybrid action multi-agent reinforcement learning-based dynamic resource auction mechanism to efficiently allocate limited resources of Planets in a distributed and adaptive manner. Extensive simulations demonstrate that our proposed scheme outperforms the representatives in user QoE and resource utilization efficiency. Particularly, the proposed scheme shows at least an 18-fold improvement in QoE over other schemes, demonstrating its capability in providing immersive Metaverse experiences. © 2002-2012 IEEE.",cooperative VR rendering; dynamic resource leasing; MARL; Metaverse; QoE,1,1,2.0
320,QoI-Aware Mobile Crowdsensing for Metaverse by Multi-Agent Deep Reinforcement Learning,"Metaverse is expected to provide mobile users with emerging applications both in regular situation like intelligent transportation services and in emergencies like wireless search and disaster response. These applications are usually associated with stringent quality-of-information (QoI) requirements like throughput and age-of-information (AoI), which can be further guaranteed by using unmanned aerial vehicles (UAVs) as aerial base stations (BSs) to compensate the existing 5G infrastructures. In this paper, we consider a new QoI-aware mobile crowdsensing (MCS) campaign by UAVs which move around and collect data from mobile users wearing metaverse devices. Specifically, we propose 'MetaCS', a multi-agent deep reinforcement learning (MADRL) framework with improvements on a Transformer-based user mobility prediction module between regions and a relational graph learning mechanism to enable the selection of most informative partners to communicate for each UAV. Extensive results and trajectory visualizations on three real mobility datasets in NCSU, KAIST and Beijing show that MetaCS consistently outperforms six baselines in terms of overall QoI index, when varying different numbers of UAVs, throughput requirement, and AoI threshold.  © 2023 IEEE.",Mobile crowdsensing for metaverse; multi-agent deep reinforcement learning; quality-of-information; user behavior modeling,1,1,2.0
028,Research on a virtual manufacturing system,"In the paper a multi-agent virtual manufacturing system is presented. This system offers a tremendous opportunity for a new kind of communication. The implementation of such a system has been made possible only by the advent of the Internet and distributed programming, increasing the flexibility of the client-server-based approach. The architecture, detailed functional models, and implementation of the system have been presented. As part of the architecture, the concept of an application independent server composed of autonomous modules is proposed. Ideally the user can access the system from any part of the world through the Internet.",virtual manufacturing;modelling;multi-agent system;network,1,0.5,1.5
106,Resource Allocation and QoE Maximization in Aerial MEC-empowered Metaverse Service: A CCM-Multi-agent DRL approach,"The integration of Mobile Edge Computing (MEC) with aerial platforms introduces novel potential for the Metaverse world by providing low-latency and highly reliable computing and communication services at the network edge. Nevertheless, this integration presents critical challenges, such as low Quality of Experience (QoE) due to the dynamic nature of aerial platforms, high resource demands, and the requirements for real-time data processing in the Metaverse environment. To address these challenges, we propose a Combinatorial Client-Master Multiagent Deep Reinforcement Learning (CCM-MADRL) based joint resource allocation and QoE maximization framework to enable intelligent real-time decision-making in aerial MEC enabled Metaverse services. We form a collaborative ecosystem where agents are designed to represent both Metaverse service providers and aerial platforms to promote fairness and efficiency in resource allocation, as well as optimize service delivery. By incorporating CCM, our approach considers diverse metrics, such as latency, reliability, meta-distance, and energy efficiency, to ensure a holistic optimization of Metaverse services. The MADRL approach enables adaptive decision-making, allowing the system to respond to the dynamic and unpredictable nature of Metaverse applications. Results from simulations that mimic realistic Metaverse scenarios demonstrate the effectiveness of the proposed CCM-MADRL framework in terms of improved service performance, reduced latency, cost, and virtual meta-distance, maximized average QoE utility of Metaverse users, and enhanced resource utilization compared to baseline algorithms.",CCM-MADRL;meta-distance;Metaverse;Quality of experience;Resource allocation,1,1,2.0
323,Reputation-Based Trust Assessment of Transacting Service Components,"We witness a paradigm shift where entities such as software applications, people, businesses and service providers increasingly interact in virtual rather than physical environments, such as social media, social commerce, and the metaverses. A key issue that emerges in such environments is how one entity can trust another. Here, the concept of trust is considered as a meta-requirement, that is, the level of belief a service requestor has that a service provider will provide the service in a way that meets the requestor's expectations. We refer to the service offering entities as service providers (SPs) and the service requesting entities as service clients (SCs). In this paper, we propose a technique that allows for evaluating trust and assigning reputation to various service providers by considering first their ability to fulfill their clients' expectations or policies, and second the reputation other service clients have, when acting as recommenders for the aforementioned service providers. In this work, service clients and service providers are considered as virtual entities that coordinate with each other, and may include physical users, avatars, micro-services, software agents, smart contracts or any other distributed inter-networked resource, without making any assumptions as to what a service client or a service provider entity is as long as it participates in an interaction. © 2023 IEEE.",Distributed Components; Metaverse; Multi-agent Systems; Reputation Systems; Service-oriented Computing; Trust,1,0.5,1.5
325,Resource Allocation for Metaverse Experience Optimization: A Multi-Objective Multi-Agent Evolutionary Reinforcement Learning Approach,"In the Metaverse, real-time, concurrent services such as virtual classrooms and immersive gaming require local graphic rendering to maintain low latency. However, the limited processing power and battery capacity of user devices make it challenging to balance Quality of Experience (QoE) and terminal energy consumption. In this paper, we investigate a multi-objective optimization problem (MOP) regarding power control and rendering capacity allocation by formulating it as a multi-objective optimization problem. This problem aims to minimize energy consumption while maximizing Meta-Immersion (MI), a metric that integrates objective network performance with subjective user perception. To solve this problem, we propose a Multi-Objective Multi-Agent Evolutionary Reinforcement Learning with User-Object-Attention (M2ERL-UOA) algorithm. The algorithm employs a prediction-driven evolutionary learning mechanism for multi-agents, coupled with optimized rendering capacity decisions for virtual objects. The algorithm can yield a superior Pareto front that attains the Nash equilibrium. Simulation results demonstrate that the proposed algorithm can generate Pareto fronts, effectively adapts to dynamic user preferences, and significantly reduces decision-making time compared to several benchmarks. © 2024 IEEE. All rights reserved.",energy consumption; Meta-Immersion; Metaverse experience; multi-objective optimization; resource allocation,1,1,2.0
327,Research on Intelligent Applications of Metaverse Battlefield for Human-Computer Interaction,"This study aims to utilize virtual reality technology to build a highly realistic metaverse battlefield based on Cesium for Unreal and Unreal Engine 5. By leveraging 3DGS rendering, Open-Sora 1.0 object-driven, and NLP multimodal interaction technologies, it achieves virtual reality multi-agent tactical confrontation decision-making deduction. The MADDPG algorithm demonstrates excellent performance in multi-agent confrontation tasks, with a win rate consistently above 95%. This research provides an efficient human-computer interaction interface (HCI) and immersive experience, holding significant application value for enhancing the tactical decision-making capabilities of military personnel. © Beijing KeCui Man-Machine-Environment System Engineering Technology Research Academy 2024.",MADDPG Algorithm; Metaverse Battlefield; Unreal Engine 5,1,1,2.0
022,Supporting collaborative virtual meetings using multi-agent systems,"In an increasingly sophisticated global business environment there is often a need to be able to bring together professionals from all types of organizations from all over the world. Those professionals operate under severe time constraints and a conventional face-to-face meeting is both impractical and expensive. Virtual meetings have proved to be a convenient alternative, offering a flexible meeting domain more suitable for the busy executive. This paper explores the concept of using a peer-to-peer network and multi-agent systems to facilitate virtual meetings, managing the artifacts required for the session. By the use of a laptop, PDA or similar electronic device the meeting participant can join the meeting and collaborate in the discussion.",Virtual Meetings;Peer-to-Peer;Multi-agent systems;Collaboration,1,0.5,1.5
034,Spatial Interaction in a Multiuser Immersive Instrument,The AlloSphere provides multiuser spatial interaction through a curved surround screen and surround sound. Two projects illustrate how researchers employed the AlloSphere to investigate the combined use of personal-device displays and the shared display. Another two projects combined multiuser interaction with multiagent systems. These projects point to directions for future ensemble-style collaborative interaction.,AlloSphere;multiuser immersive environments;immersive environments;virtual environments;spatial interaction;spatial interfaces;virtual reality;Graph Browser;Cloud Bridge;Allobrain;Time of Doubles;computer graphics;multimedia,1,0.5,1.5
087,Scalable Consensus Over Finite Capacities in Multiagent IoT Ecosystems,"In the real world, consensus achievement is an adaptive and evolutionary process. Tailor-made mechanisms are engaging in the light of disputes to resolve emerging contradictions between the atoms. Most of the dominant blockchain architectures tend to oversee this fact. They come integrated with rigid, overkilling consensus-achievement procedures, which, in many cases, are not necessary or significantly beneficial. They often raise overwhelming demands on the nodes and prohibit the deployment of fully distributed and peer blockchain operation in the IoT world. Still, for the IoT ecosystems and the metaverse to become self-sustainable and self-evolving, robust validity mechanisms must be embedded in the atomic scale. This work investigates the process of building and sustaining scalable consensus policies over the trivial atomic capacities of the IoT ecosystems. For this, we deploy the IoT microblockchain framework as an atomic consistency tier and we define a primary set of validity rules that every node can easily carry out. The initial concept relies on Gödel’s incompleteness theorems and K. Friston’s free energy principle and is investigated under the perspectives of graph and game theory. To study the dynamic behavior of the system, a competitive game among the nodes is run. The Proof of Existence (PoE) is utilized as a universal proofing case. Its feasibility is demonstrated, and its complexity is analyzed under various system considerations. The findings prove that finite-capacity atoms can collectively and efficiently support verifiable validity and scalable consensus in the evolutionary IoT ecosystems and the metaverse, even under conditions of high diversity, trivial capacity, and eventual consistency.",Artificial intelligence (AI)-intensive multiagent systems;evolutionary systems;IoT microblockchain;IoT sustainable transactional trust;peer IoT ecosystems;rational metaverse;reality modeling;scalable consensus;validity in IoT ecosystems,1,1,2.0
247,Simplifying Crowd Automation in the Virtual Laboratory of Archaeology,"Virtual archaeology projects have been evolving to go beyond a mere reconstruction of architecture and artefacts of heritage sites: human interaction with the environment is also an object of research for historians and archaeologists. Methodologies like the London Charter propose that historians and archaeologists, in close collaboration with technical teams, lead virtual archaeology projects to guarantee the credibility and scientific validation of the result. The question is how to allow historians to model crowds on their own, if lacking the required skills to programme complex artificial intelligent-driven autonomous agents. In this article a method is proposed, currently under development, to allow non-programmers will be able to successfully model crowds using very simple tools that do not require formal programming knowledge but can still provide convincing results. The underlying idea is to employ concepts borrowed from computer games, whose interfaces are targeted to non-experts and adapt them to the specificities of virtual world platforms like Second Life® and OpenSimulator. Moreover, some limitations and ideas for further extension are discussed.","Second Life, OpenSimulator, Artifircial intelligence, Virtual archaeology, Genetic algorithms, Bots",1,0.5,1.5
295,Securing Distributed Computing in the Metaverse: A Balanced TGDH Encryption Scheme,"In this paper, we present a secure communication protocol based on a balanced Tree-based Group Diffie-Hellman (TGDH) key management solution for secure distributed computing in metaverse. The novelty of this work is that our modified TGDH algorithm balances the tree while preserving the distributed, secure architecture of group re-keying. The balanced tree ensures optimized computation regardless of join or leave events. This paper also presents a portable Python application programming interface (API) for the implementation of this secured group key management algorithm. This API addresses a lack of existing open-source implementations of TGDH, specifically in distributed-system architecture. From cloud based data sharing to distributed multi-agent frameworks and any secured computation application in metaverse, our algorithm can be easily and efficiently ported to any OS and used to secure group communications. © 2023 IEEE.",group key agreement implementation; secure computing in metaverse; secure group communication; secure multi-agent systems; security in distributed computing; TGDH,1,1,2.0
297,Smart Farm Security by Combining IoT Sensor Network and Virtualized Mycelium Network,"In today's world, merging sensor-based security systems with contemporary principles has become crucial. As we witness the ever-growing number of interconnected devices in the Internet of Things (IoT), it is imperative to have robust and trustworthy security measures in place. In this paper, we examine the idea of virtualizing the communication infrastructure for smart farming in the context of IoT. Our approach utilizes a metaverse-based framework that mimics natural processes such as mycelium network growth communication with a security-concept-based srtificial immune system (AIS) and transaction models of a multi-agent system (MAS). The mycelium, a bridge that transfers nutrients from one plant to another, is an underground network (IoT below ground) that can interconnect multiple plants. Our objective is to study and simulate the mycelium's behavior, which serves as an underground IoT, and we anticipate that the simulation results, supported by diverse aspects, can be a reference for future IoT network development. A proof of concept is presented, demonstrating the capabilities of such a virtualized network for dedicated sensor communication and easy reconfiguration for various needs.",artificial immune system; Internet-of-Things; metaverse; multi-agent system; mycelium; sensor network; smart farming,1,1,2.0
304,Spatio-Temporal Multi-Metaverse Dynamic Streaming for Hybrid Quantum-Classical Systems,"According to the challenges related to the limited availability of quantum bits (qubits) in the era of noisy intermediate-scale quantum (NISQ), the immediate replacement of all components in existing network architectures with quantum computing devices may not be practical. As a result, implementing a hybrid quantum-classical system is regarded as one of effective strategies. In hybrid quantum-classical systems, quantum computing devices can be used for computation-intensive applications, such as massive scheduling in dynamic environments. Furthermore, one of most popular network applications is advanced social media services such as metaverse. Accordingly, this paper proposes an advanced multi-metaverse dynamic streaming algorithm in hybrid quantum-classical systems. For this purpose, the proposed algorithm consists of three stages. For the first stage, three-dimensional (3D) point cloud data gathering should be conducted using spatially scheduled observing devices from physical-spaces for constructing virtual multiple meta-spaces in metaverse server. This is for massive scheduling over dynamic situations, i.e., quantum multi-agent reinforcement learning-based scheduling is utilized for scheduling dimension reduction into a logarithmic-scale. For the second stage, a temporal low-delay metaverse server's processor scheduler is designed for region-popularity-aware multiple virtual meta-spaces rendering contents allocation via modified bin-packing with hard real-time constraints. Lastly, a novel dynamic dynamic streaming algorithm is proposed for high-quality, differentiated, and stabilized meta-spaces rendering contents delivery to individual users via Lyapunov optimization theory. Our performance evaluation results verify that the proposed spatio-temporal algorithm outperforms benchmarks in various aspects over hybrid quantum-classical systems.  © 1993-2012 IEEE.",dynamic streaming; Hybrid quantum-classical systems; metaverse; quantum deep learning,1,0.5,1.5
312,Semantic Information Marketing in the Metaverse: A Learning-Based Contract Theory Framework,"In this paper, we address the problem of designing incentive mechanisms by a virtual service provider (VSP) to hire sensing IoT devices to sell their sensing data to help creating and rendering the digital copy of the physical world in the Metaverse. Due to the limited bandwidth, we propose to use semantic extraction algorithms to reduce the delivered data by the sensing IoT devices. Nevertheless, mechanisms to hire sensing IoT devices to share their data with the VSP and then deliver the constructed digital twin to the Metaverse users are vulnerable to adverse selection problem. The adverse selection problem, which is caused by information asymmetry between the system entities, becomes harder to solve when the private information of the different entities are multi-dimensional. We propose a novel iterative contract design and use a new variant of multi-agent reinforcement learning (MARL) to solve the modelled multi-dimensional contract problem. To demonstrate the effectiveness of our algorithm, we conduct extensive simulations and measure several key performance metrics of the contract for the Metaverse. Our results show that our designed iterative contract is able to incentivize the participants to interact truthfully, which maximizes the profit of the VSP with minimal individual rationality (IR) and incentive compatibility (IC) violation rates. Furthermore, the proposed learning-based iterative contract framework has limited access to the private information of the participants, which is to the best of our knowledge, the first of its kind in addressing the problem of adverse selection in incentive mechanisms.  © 2023 IEEE.",age of information; contract theory; deep reinforcement learning; Digital twin; semantic communication,1,0.5,1.5
317,Securing the Metaverse: The Intersection of ML-Based Oracles and Blockchain Technology,"The integration of blockchain and machine learning (ML) in decentralized systems has revolutionized the operational potential of smart contracts, especially in dynamic and interactive environments such as the metaverse. Smart contracts leverage blockchain technology to enable secure, decentralized, and transparent automation of agreements without intermediaries. However, their reliability often depends on external data sources, known as blockchain oracles, which are prone to tampering and manipulation due to their operation outside the blockchain. To address these vulnerabilities, we propose a novel architecture, MARL-RSS (Multi-Agent Reinforcement Learning with Ring Signature Scheme), designed to enhance blockchain security and ensure the trustworthiness of oracle networks. MARL-RSS integrates Multi-Agent Reinforcement Learning techniques to dynamically detect and isolate malicious oracles, ensuring data integrity and system resilience. Furthermore, the integration of a Ring Signature Scheme (RSS) guarantees oracle anonymity and authenticity, enabling secure data sharing while preserving privacy. Experimental results demonstrate the effectiveness of MARL- RSS in detecting malicious oracles with high accuracy while maintaining low false positive rates. The RSS mechanism introduces minimal overhead while ensuring privacy and authenticity. MARL- RSS provides a scalable and secure foundation for decentralized systems, enabling efficient and trustworthy operations in blockchain-based applications, including the metaverse. © 2024 IEEE.",Blockchain; Machine learning; MARL; Metaverse; Oracle; Security,1,1,2.0
010,Transforming Learning through Agent Augmented Virtual World,"Recent years have seen new forms of immersive learning such as interactive storytelling in virtual learning environment. Intelligent software agents are able to provide a more attractive narrative and get the users more involved in the unfolding of the story line in the virtual world. However, designing and implementing a software agent or a multi-agent system (MAS) for this purpose requires the developer to be highly skilled in agent oriented software engineering (AOSE) and a large investment in time and effort. This raises the hurdle to develop non-trivial agent augmented interactive e-learning applications. Our research proposes a framework - the multi-agent development environment (MADE) - to resolve this problem by abstracting the agent implementation part into a reusable runtime environment so as to enable less technically inclined people (e.g. teachers) and developers with limited knowledge in AOSE to rapidly prototype a multi-agent system to be incorporated into interactive learning applications.",Multi-agent Systems;Agent-augmented Virtual Environment;Agent-mediated Immersive Learning,1,0.5,1.5
024,TSI-Enhanced Engaging Pedagogical Agents,"This paper presents an ongoing project that builds engaging, affectionate and effective pedagogical agents in 3D virtual worlds for learning. Employing the theory of Transformed Social Interaction (TSI), we design pedagogical agents with abilities of self-representation, emotional states reasoning and situational awareness. A prototype of a virtual quiz show, Quizmaster, has been implemented to realize these abilities, and will be used to test for the effectiveness of the approach.",virtual quiz games;pedagogical agent;transformed social interaction(TSI) theory;BDI agent;multiagent systems,1,0.5,1.5
037,Tokyo Virtual Living Lab: Designing Smart Cities Based on the 3D Internet,"The Tokyo Virtual Living Lab is an experimental space based on 3D Internet technology that lets researchers conduct controlled driving and travel studies, including those involving multiple users in the same shared space. This shared-use feature is crucial for analyzing interactive driving behaviors in future smart cities. The lab's novelty is two-fold: it outputs a semantically enriched graphical navigation network using free map data as input, and it includes a navigation segment agent that coordinates a multiagent traffic simulator. This simulator, which is based on the navigation network, supports the integration of user-controlled vehicles. The lab's approach can significantly reduce the effort of preparing realistic driving behavior studies. To demonstrate this, the authors built a 3D model of a part of Tokyo to perform experiments with human drivers in two conditions: normal traffic and ubiquitous eco-traffic.",human factors;artificial realities;augmented realities;virtual realities;Internet computing;3D Internet,1,0.5,1.5
038,Tiny Multiagent DRL for Twins Migration in UAV Metaverses: A Multileader Multifollower Stackelberg Game Approach,"The synergy between unmanned aerial vehicles (UAVs) and metaverses is giving rise to an emerging paradigm named UAV metaverses, which create a unified ecosystem that blends physical and virtual spaces, transforming drone interaction and virtual exploration. UAV twins (UTs), as the digital twins of UAVs that revolutionize UAV applications by making them more immersive, realistic, and informative, are deployed and updated on ground base stations, e.g., roadside units (RSUs), to offer metaverse services for UAV metaverse users (UMUs). Due to the dynamic mobility of UAVs and limited communication coverages of RSUs, it is essential to perform real-time UT migration to ensure seamless immersive experiences for UMUs. However, selecting appropriate RSUs and optimizing the required bandwidth is challenging for achieving reliable and efficient UT migration. To address the challenges, we propose a tiny machine learning-based Stackelberg game framework based on pruning techniques for efficient UT migration in UAV metaverses. Specifically, we formulate a multileader multifollower Stackelberg model considering a new immersion metric of UMUs in the utilities of UAVs. Then, we design a Tiny multiagent deep reinforcement learning (Tiny MADRL) algorithm to obtain the tiny networks representing the optimal game solution. Specifically, the actor-critic network leverages the pruning techniques to reduce the number of network parameters and achieve model size and computation reduction, allowing for efficient implementation of Tiny MADRL. Numerical results demonstrate that our proposed schemes have better performance than traditional schemes.",Metaverses;multiagent deep reinforcement learning;pruning techniques;Stackelberg game;UAV twins (UTs),1,1,2.0
127,The impact of eye gaze on social interactions of females in virtual reality: The mediating role of the uncanniness of avatars and the moderating role of task type,"The introduction of the Metaverse and the rise of social virtual reality platforms such as VRChat has led to increased communication and collaboration in virtual reality. As interactions in social virtual reality take place through avatars, the behaviour, and in particular the eye gaze of an avatar can have an impact on the user experience. However, it is still unclear which features of the user experience are most influenced. Therefore, this study used data from 44 female participants to investigate how avatar gaze behaviour (static eyes vs. real-time tracked eyes) affects their perceived quality of communication and the amount of one-sided eye contact participants make during a communicative or collaborative task in virtual reality. In addition, the study investigated the mediating role of perceived avatar “uncanniness” (i.e., the finding that humanoid objects that imperfectly resemble real people evoke feelings of discomfort) in this relationship and the moderation effect of two multi-user scenarios (collaboration vs. communication). The results showed that uncanniness directly affected the perceived quality of communication. However, it did not significantly mediate the relationship between avatar eye gaze behaviour and the quality of communication or the amount of one-sided eye contact. Finally, there were no significant differences in user experience between the two scenarios. From this, we can conclude that the uncanniness of an avatar being interacted with in VR is not enough to hinder communication and collaboration in an immersive medium. And even if an avatar is perceived as uncanny, normative communication cues such as eye contact are still present. Notably, due to sample availability, the results of this study are based on a female-only sample. Thus, future research can benefit from exploring the outlined effects in a more gender-balanced sample.","Virtual reality, Eye tracking, Multi-agent, Avatar uncanniness, Communication, Collaboration, Moderated mediation analysis",1,0.5,1.5
149,Toward Human Digital Twins for Cybersecurity Simulations on the Metaverse: Ontological and Network Science Approach,"Background Cyber defense is reactive and slow. On average, the time-to-remedy is hundreds of times larger than the time-to-compromise. In response, Human Digital Twins (HDTs) offer the capability of running massive simulations across multiple domains on the Metaverse. Simulated results may predict adversaries' behaviors and tactics, leading to more proactive cyber defense strategies. However, current HDTs’ cognitive architectures are underdeveloped for such use. Objective This paper aims to make a case for extending the current digital cognitive architectures as the first step toward more robust HDTs that are suitable for realistic Metaverse cybersecurity simulations. Methods This study formally documented 108 psychology constructs and thousands of related paths based on 20 time-tested psychology theories, all of which were packaged as Cybonto—a novel ontology. Then, this study applied 20 network science centrality algorithms in ranking the Cybonto psychology constructs by their influences. Results Out of 108 psychology constructs, the top 10 are Behavior, Arousal, Goals, Perception, Self-efficacy, Circumstances, Evaluating, Behavior-Controllability, Knowledge, and Intentional Modality. In this list, only Behaviors, Goals, Perception, Evaluating, and Knowledge are parts of existing digital cognitive architectures. Notably, some of the constructs are not explicitly implemented. Early usability tests demonstrate that Cybonto can also be useful for immediate uses such as manual analysis of hackers’ behaviors and automatic analysis of behavioral cybersecurity knowledge texts. Conclusions The results call for specific extensions of current digital cognitive architectures such as explicitly implementing more refined structures of Long-term Memory and Perception, placing a stronger focus on noncognitive yet influential constructs such as Arousal, and creating new capabilities for simulating, reasoning about, and selecting circumstances.","human behavior modeling, cognitive twins, human digital twins, cybersecurity, cognitive systems, digital twins, Metaverse, artificial intelligence",1,0.5,1.5
285,The Transformation of the New Media Communication Paradigm in the Metaverse Era and Blockchain Based on the Topological Characteristics of Information Communication,"Keeping pace with the times, this paper analyzes and interprets the concept, characteristics of Metaverse, and its influence on new media communication. Based on this, under the topological characteristics of information communication, this paper discusses the transformation of new media communication paradigm in the metaverse era and models the prediction of new media information dissemination in metaverse. In this paper, the multi-agent modeling method is used to analyze and compare the evolution results of each agent attribute under different parameter values. At the same time, based on the ideal social media network, the improved integrated immune control strategy is applied to the dynamic model of epidemic (SEIR) with latent period, and the spreading and evolution process of rumors before and after immunization is simulated. This research has both theoretical value and practical application value, which can provide a useful reference for the follow-up research of new media communication. © 2024 IGI Global. All rights reserved.",Blockchain; Information Dissemination; Metaverse; New Media,1,0.5,1.5
314,"The Simulation Methods in Library and Information Science: Method, Application and Future Directions; [图情学科中的仿真模拟：方法、应用现状与展望]","[Purpose/Significance] The application of simulation methods will be of great significance to the solution of various complex problems in the subject of graphics and information in the discipline of Library and Information Science. It is necessary to summarize the present status and future prospects of simulation methods applied in this discipline. [Design/Methodology] Taking relevant literatures of domestic and foreign journals as the research object, the research progress of simulation methods applied in the discipline of library and information was reviewed and analyzed with a systematic method. [Findings/Conclusion]The conditions and characteristics of simulation methods applied in Library and Information Science,such as multi-agent simulation, system dynamics, complex networks, and cellular automata, was summarized and analyzed comparatively with the traditional methods.Application status of these methods in the fields of information dissemination and network public opinion, knowledge management, scientific evaluation, and competitive intelligence was outlined.The idea of in-depth and wide application of the simulation method in this discipline with the development of big data and metaverse technologies was put forwarded. [Originality/Value] Through systematically summarisionof the existing research on the application of simulation methods in the discipline of Library and Information Science, the direction of future research was clarified combined with new scenarios in the new era, which has certain reference value for researchers. © 2022 Editorial Office of Documentation, Information and Knowledge. All rights reserved.",Data driven; Library and Information Science; Metaverse; Multi-agent; Simulation; System dynamics,1,0.5,1.5
331,The 3rd International Workshop on Deep Learning for the Web of Things,"Deep learning and the Web of Things (WoT) have become powerful tools for web engineering, leading to increased investigation and publication of research related to deep learning in web engineering. Therefore, this workshop is titled ""The 3rd International Workshop on Deep Learning for the Web of Things""for the Web Conference 2023 (WWW'23). This workshop features five research articles: (1) ""Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses"", (2) ""Web 3.0: Future of the Internet"", (3) ""Weighted Statistically Significant Pattern Mining"", (4) ""DSNet: Efficient Lightweight Model for Video Salient Object Detection for IoT and WoT Applications"", and (5) ""The Human-Centric Metaverse: A Survey"".  © 2023 Owner/Author.",Deep Learning; Internet of Things; Machine learning; Web of Things,1,0.5,1.5
077,Understanding the Interplay of Model Complexity and Fidelity in Multiagent Systems via an Evolutionary Framework,"Modern video games come with highly realistic graphics enabling the players to interact with visually rich virtual worlds. Realistic (life-like) animation of nonplayer characters (NPCs) in such virtual worlds is particularly important to enhance the gaming experience. Multiagent systems are one effective approach to synthesize life-like behaviors and interactions by codifying simple rules into NPCs (each NPC as an autonomous agent). However, such behaviors generally come at the cost of increasing computational expense and complexity in terms of aspects such as number of rules and parameters. Therefore, the desire for high fidelity (highly realistic) behaviors is often in conflict with the drive for low complexity. Multiobjective evolutionary algorithms provide a sophisticated mechanism to optimize two or more conflicting objectives simultaneously. However, evolutionary computing techniques need an appropriate objective function to drive the exploration in the correct direction. Pairing of evolutionary techniques and multiagent systems is challenging in the classes of problems in which the fitness is evaluated based on human aesthetic judgment rather than on objective forms of measurements. In this study, we present a multiobjective evolutionary framework to evolve low complexity and high fidelity multiagent systems by utilizing a machine learning system trained by bootstrapping human aesthetic judgment. We have gathered empirical data in three problem areas-simulation of conversational group dynamics, sheepdog herding behaviors, and traffic dynamics, and show the effectiveness of our approach in deriving low complexity and high fidelity multiagent systems. Further, we have identified common properties of the Pareto-optimal frontiers in the three problem areas that can ultimately lead to an understanding of a relationship between simulation model complexity and behavior fidelity. This understanding will be useful in deciding which level of behavioral fidelity is required for the characters in video games based on the distance to the camera, importance to the scene, and available computational resources.",Complexity;fidelity;level of detail artificial intelligence (LOD AI);multiagent systems;multiobjective optimization,1,1,2.0
291,User awareness detection in the room with multiple sensor device,"It is difficult to get awareness of user's context from sensors such kind of video cameras, RFID-Tags, GPS, PC-monitoring and another ubiquitous devices. On the other hand, it is difficult to understanding what information is got in computers for user. We are in the network-age since 1995. We use PC, smart phone, iPad and other digital gadget which are connected to the Internet every time anywhere. For keeping safety, there are many monitoring video cameras in public and private space. Of course, the privacy policy is kept ones privacy. On the other hand, we are in defragmented by the Network. We use many communication tools to contact business person, family, friend and another person. Theses communication tools are e-mail, twitter, blog, messenger, SNS and another communication tools in the Internet. We can not feel the person's awareness in real time with such kind of digital communication tools. This kind of communication gap makes loneliness of home worker. In this paper, we show the concept of the sharing users' awareness between fragmented people on the Internet and show how to get user awareness from multiple sensor devices. © 2010 IEEE.",Awareness; Cyber space; Metaverse; Symbiotic computing; Ubiquitous system. multi-agent system; Virtual realty,1,0.5,1.5
