ID,Title,Abstract,Keywords,Authors,Year,Publication_Type,Source_Name,Platform_Type,Research_Area,System_Architecture,Agent_Role,Behavior_Mechanism,Evaluation_Method,Experimental_Design,Challenge_Type,Research_Gap,Evaluation_Limitations
48,Research on Intelligent Applications of Metaverse Battlefield for Human-Computer Interaction,"This study aims to utilize virtual reality technology to build a highly realistic metaverse battlefield based on Cesium for Unreal and Unreal Engine 5. By leveraging 3DGS rendering, Open-Sora 1.0 object-driven, and NLP multimodal interaction technologies, it achieves virtual reality multi-agent tactical confrontation decision-making deduction. The MADDPG algorithm demonstrates excellent performance in multi-agent confrontation tasks, with a win rate consistently above 95%. This research provides an efficient human-computer interaction interface (HCI) and immersive experience, holding significant application value for enhancing the tactical decision-making capabilities of military personnel.",MADDPG Algorithm; Metaverse Battlefield; Unreal Engine 5; Virtual Reality; NLP Interaction,Beijing KeCui Man-Machine-Environment System Engineering Technology Research Academy,2024,Internal Technical Report,Internal Technical Report - KeCui Beijing,Simulation,Simulation,Multi-agent,Social Interaction,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Validation,Validation Environment
49,Scalable Consensus Over Finite Capacities in Multiagent IoT Ecosystems,"In the real world, consensus achievement is an adaptive and evolutionary process. Tailor-made mechanisms are engaging in the light of disputes to resolve emerging contradictions between the atoms. Most of the dominant blockchain architectures tend to oversee this fact. They come integrated with rigid, overkilling consensus-achievement procedures, which, in many cases, are not necessary or significantly beneficial. They often raise overwhelming demands on the nodes and prohibit the deployment of fully distributed and peer blockchain operation in the IoT world. Still, for the IoT ecosystems and the metaverse to become self-sustainable and self-evolving, robust validity mechanisms must be embedded in the atomic scale. This work investigates the process of building and sustaining scalable consensus policies over the trivial atomic capacities of the IoT ecosystems. For this, we deploy the IoT microblockchain framework as an atomic consistency tier and we define a primary set of validity rules that every node can easily carry out. The initial concept relies on Gödel’s incompleteness theorems and K. Friston’s free energy principle and is investigated under the perspectives of graph and game theory. To study the dynamic behavior of the system, a competitive game among the nodes is run. The Proof of Existence (PoE) is utilized as a universal proofing case. Its feasibility is demonstrated, and its complexity is analyzed under various system considerations. The findings prove that finite-capacity atoms can collectively and efficiently support verifiable validity and scalable consensus in the evolutionary IoT ecosystems and the metaverse, even under conditions of high diversity, trivial capacity, and eventual consistency.","Artificial intelligence (AI)-intensive multiagent systems, evolutionary systems, IoT microblockchain, IoT sustainable transactional trust, peer IoT ecosystems, rational metaverse, reality modeling, scalable consensus, validity in IoT ecosystems","Aristidis G. Anagnostakis, Charilaos Naxakis, Nikolaos Giannakeas, Markos G. Tsipouras, Alexandros T. Tzallas, Euripidis Glavas",2023,Journal article,IEEE Internet Of Things Journal,Infrastructure,Industrial Systems,Multi-agent,Transportation,Game Theory,Theoretical Analysis,Quantitative,Multi-Agent Collaboration,System Design,Validation Environment
50,Securing Distributed Computing in the Metaverse: A Balanced TGDH Encryption Scheme,"In this paper, we present a secure communication protocol based on a balanced Tree-based Group Diffie-Hellman (TGDH) key management solution for secure distributed computing in metaverse. The novelty of this work is that our modified TGDH algorithm balances the tree while preserving the distributed, secure architecture of group re-keying. The balanced tree ensures optimized computation regardless of join or leave events. This paper also presents a portable Python application programming interface (API) for the implementation of this secured group key management algorithm. This API addresses a lack of existing open-source implementations of TGDH, specifically in distributed-system architecture. From cloud based data sharing to distributed multi-agent frameworks and any secured computation application in metaverse, our algorithm can be easily and efficiently ported to any OS and used to secure group communications.","secure group communication, group key agreement implementation, TGDH, secure multi-agent systems, security in distributed computing, secure computing in metaverse","Anway Bose, John L. Nori, Li Bai",2023,Conference Paper,IEEE International Conference on Metaverse Computing (MetaCom),Blockchain,Blockchain,Other,Transportation,Game Theory,Theoretical Analysis,Quantitative,Network,Models,Generalizability
51,Smart Farm Security by Combining IoT Sensor Network and Virtualized Mycelium Network,"In today’s world, merging sensor-based security systems with contemporary principles has become crucial. As we witness the ever-growing number of interconnected devices in the Internet of Things (IoT), it is imperative to have robust and trustworthy security measures in place. In this paper, we examine the idea of virtualizing the communication infrastructure for smart farming in the context of IoT. Our approach utilizes a metaverse-based framework that mimics natural processes such as mycelium network growth communication with a security-concept-based artificial immune system (AIS) and transaction models of a multi-agent system (MAS). The mycelium, a bridge that transfers nutrients from one plant to another, is an underground network (IoT below ground) that can interconnect multiple plants. Our objective is to study and simulate the mycelium’s behavior, which serves as an underground IoT, and we anticipate that the simulation results, supported by diverse aspects, can be a reference for future IoT network development. A proof of concept is presented, demonstrating the capabilities of such a virtualized network for dedicated sensor communication and easy reconfiguration for various needs.","smart farming, Internet-of-Things, mycelium, metaverse, multi-agent system, sensor network, artificial immune system","Nurdiansyah Sirimorok, Rio Mukhtarom Paweroi, Andi Arniaty Arsyad, Mario Köppen",2023,Journal article,Sensors (mdpi),Infrastructure,Industrial Systems,Other,Transportation,Game Theory,Quantitative Metrics,Quantitative,Network,Multi-Agent Interaction,Validation Environment
52,Spatio-Temporal Multi-Metaverse Dynamic Streaming for Hybrid Quantum-Classical Systems,"This paper proposes an advanced multi-metaverse dynamic streaming algorithm in hybrid quantum-classical systems, consisting of three stages: QMARL-based spatial scheduling, temporal scheduling via modified bin-packing, and Lyapunov optimization-based dynamic streaming.","Hybrid quantum-classical systems, quantum deep learning, metaverse, dynamic streaming","Soohyun Park, Hankyul Baek, Joongheon Kim",2024,Journal Article,Ieee/acm Transactions On Networking,Blockchain,Artificial Intelligence,Other,Transportation,Reinforcement Learning,Comparative Analysis,Quantitative,Resource Management,Models,Validation Environment
53,Semantic Information Marketing in the Metaverse: A Learning-Based Contract Theory Framework,"In this paper, we address the problem of designing incentive mechanisms by a virtual service provider (VSP) to hire sensing IoT devices to sell their sensing data to help creating and rendering the digital copy of the physical world in the Metaverse. Due to the limited bandwidth, we propose to use semantic extraction algorithms to reduce the delivered data by the sensing IoT devices. Nevertheless, mechanisms to hire sensing IoT devices to share their data with the VSP and then deliver the constructed digital twin to the Metaverse users are vulnerable to adverse selection problem. The adverse selection problem, which is caused by information asymmetry between the system entities, becomes harder to solve when the private information of the different entities are multi-dimensional. We propose a novel iterative contract design and use a new variant of multi-agent reinforcement learning (MARL) to solve the modelled multidimensional contract problem. To demonstrate the effectiveness of our algorithm, we conduct extensive simulations and measure several key performance metrics of the contract for the Metaverse. Our results show that our designed iterative contract is able to incentivize the participants to interact truthfully, which maximizes the profit of the VSP with minimal individual rationality (IR) and incentive compatibility (IC) violation rates. Furthermore, the proposed learning-based iterative contract framework has limited access to the private information of the participants, which is to the best of our knowledge, the first of its kind in addressing the problem of adverse selection in incentive mechanisms.","Digital twin, semantic communication, contract theory, age of information, deep reinforcement learning","Ismail Lotfi, Dusit Niyato, Sumei Sun, Dong In Kim, Xuemin Shen",2024,Journal article,IEEE Journal On Selected Areas In Communications,Infrastructure,Artificial Intelligence,Digital Twin,Transportation,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Models,Validation Environment
54,Securing the Metaverse: The Intersection of ML-Based Oracles and Blockchain Technology,"This paper proposes MARL-RSS, a framework integrating Multi-Agent Reinforcement Learning and Ring Signature Schemes to enhance blockchain oracle security in the metaverse. It ensures data integrity, anonymity, and dynamic detection of malicious oracles.","MARL, Blockchain, Metaverse, Machine learning, Oracle, Security","Hajar Moudoud, Zakaria Abou El Houda, Bouziane Brik",2024,Conference Paper,International Conference On Intelligent Metaverse Technologies & Applications (imeta),Blockchain,Artificial Intelligence,Blockchain-based,Transportation,Reinforcement Learning,Quantitative Metrics,Quantitative,Models,Security,Validation Environment
55,Tiny Multiagent DRL for Twins Migration in UAV Metaverses: A Multileader Multifollower Stackelberg Game Approach,"The synergy between unmanned aerial vehicles (UAVs) and metaverses is giving rise to an emerging paradigm named UAV metaverses, which create a unified ecosystem that blends physical and virtual spaces, transforming drone interaction and virtual exploration. UAV twins (UTs), as the digital twins of UAVs that revolutionize UAV applications by making them more immersive, realistic, and informative, are deployed and updated on ground base stations, e.g., roadside units (RSUs), to offer metaverse services for UAV metaverse users (UMUs). Due to the dynamic mobility of UAVs and limited communication coverages of RSUs, it is essential to perform real-time UT migration to ensure seamless immersive experiences for UMUs. However, selecting appropriate RSUs and optimizing the required bandwidth is challenging for achieving reliable and efficient UT migration. To address the challenges, we propose a tiny machine learning-based Stackelberg game framework based on pruning techniques for efficient UT migration in UAV metaverses. Specifically, we formulate a multileader multifollower Stackelberg model considering a new immersion metric of UMUs in the utilities of UAVs. Then, we design a Tiny multiagent deep reinforcement learning (Tiny MADRL) algorithm to obtain the tiny networks representing the optimal game solution. Specifically, the actor-critic network leverages the pruning techniques to reduce the number of network parameters and achieve model size and computation reduction, allowing for efficient implementation of Tiny MADRL. Numerical results demonstrate that our proposed schemes have better performance than traditional schemes.","Metaverses, multiagent deep reinforcement learning, pruning techniques, Stackelberg game, UAV twins (UTs)","Jiawen Kang, Yue Zhong, Minrui Xu, Jiangtian Nie, Jinbo Wen, Hongyang Du, Dongdong Ye, Xumin Huang, Dusit Niyato, Shengli Xie",2024,Journal article,IEEE Internet Of Things Journal,Infrastructure,Artificial Intelligence,Other,Network Infrastructure,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Models,Validation Environment
56,The impact of eye gaze on social interactions of females in virtual reality: The mediating role of the uncanniness of avatars and the moderating role of task type,"This study investigates how avatar eye gaze behavior (static vs. tracked) affects perceived quality of communication (QoC) and one-sided eye contact in VR, with a focus on the mediating role of avatar uncanniness and the moderating role of task type (communication vs. collaboration). Results show that uncanniness negatively impacts QoC but does not mediate the relationship between gaze behavior and social interaction metrics.","Virtual reality, Eye tracking, Multi-agent, Avatar uncanniness, Communication, Collaboration","Aleksandra Zheleva, Julie Hardeman, Wouter Durnez, Charlotte Vanroelen, Jonas De Bruyne, Dennis Osei Tutu, Jessica Morton, Jamil Joundi, Jelle Saldien, Klaas Bombeke",2023,Journal Article,Heliyon,Social,Social Computing,Other,Social Interaction,Game Theory,Quantitative Metrics,Quantitative,Metaverse,Models,Generalizability
57,Toward Human Digital Twins for Cybersecurity Simulations on the Metaverse: Ontological and Network Science Approach,"Background: Cyber defense is reactive and slow. On average, the time-to-remedy is hundreds of times larger than the time-to-compromise. In response, Human Digital Twins (HDTs) offer the capability of running massive simulations across multiple domains on the Metaverse. Simulated results may predict adversaries' behaviors and tactics, leading to more proactive cyber defense strategies. However, current HDTs’ cognitive architectures are underdeveloped for such use. Objective: This paper aims to make a case for extending the current digital cognitive architectures as the first step toward more robust HDTs that are suitable for realistic Metaverse cybersecurity simulations. Methods: This study formally documented 108 psychology constructs and thousands of related paths based on 20 time-tested psychology theories, all of which were packaged as Cybonto—a novel ontology. Then, this study applied 20 network science centrality algorithms in ranking the Cybonto psychology constructs by their influences. Results: Out of 108 psychology constructs, the top 10 are Behavior, Arousal, Goals, Perception, Self-efficacy, Circumstances, Evaluating, Behavior-Controllability, Knowledge, and Intentional Modality. In this list, only Behaviors, Goals, Perception, Evaluating, and Knowledge are parts of existing digital cognitive architectures. Notably, some of the constructs are not explicitly implemented. Early usability tests demonstrate that Cybonto can also be useful for immediate uses such as manual analysis of hackers’ behaviors and automatic analysis of behavioral cybersecurity knowledge texts. Conclusions: The results call for specific extensions of current digital cognitive architectures such as explicitly implementing more refined structures of Long-term Memory and Perception, placing a stronger focus on noncognitive yet influential constructs such as Arousal, and creating new capabilities for simulating, reasoning about, and selecting circumstances.","human behavior modeling, cognitive twins, human digital twins, cybersecurity, cognitive systems, digital twins, Metaverse, artificial intelligence",Tam N Nguyen,2022,Journal article,Jmirx Med,Simulation,Artificial Intelligence,Digital Twin,Social Interaction,Game Theory,Case Studies,Qualitative,Metaverse,System Design,Validation Environment
58,The Transformation of the New Media Communication Paradigm in the Metaverse Era and Blockchain Based on the Topological Characteristics of Information Communication,"Keeping pace with the times, this paper analyzes and interprets the concept, characteristics of Metaverse, and its influence on new media communication. Based on this, under the topological characteristics of information communication, this paper discusses the transformation of new media communication paradigm in the metaverse era and models the prediction of new media information dissemination in metaverse. In this paper, the multi-agent modeling method is used to analyze and compare the evolution results of each agent attribute under different parameter values. At the same time, based on the ideal social media network, the improved integrated immune control strategy is applied to the dynamic model of epidemic (SEIR) with latent period, and the spreading and evolution process of rumors before and after immunization is simulated. This research has both theoretical value and practical application value, which can provide a useful reference for the follow-up research of new media communication.","Blockchain, Information Dissemination, Metaverse, New Media",Jinping Zhang,2024,Journal article,International Journal Of Web Services Research,Blockchain,Blockchain,Multi-agent,Social Interaction,Game Theory,Case Studies,Quantitative,Network,Technology Integration,Data Constraints
59,"The Simulation Methods in Library and Information Science: Method, Application and Future Directions","[Purpose/Significance] The application of simulation methods will be of great significance to the solution of various complex problems in the subject of graphics and information in the discipline of Library and Information Science. It is necessary to summarize the present status and future prospects of simulation methods applied in this discipline. [Design/Methodology] Taking relevant literatures of domestic and foreign journals as the research object, the research progress of simulation methods applied in the discipline of library and information was reviewed and analyzed with a systematic method. [Findings/Conclusion] The conditions and characteristics of simulation methods applied in Library and Information Science,such as multi-agent simulation, system dynamics, complex networks, and cellular automata , was summarized and analyzed comparatively with the traditional methods.Application status of these methods in the fields of information dissemination and network public opinion, knowledge management, scientific evaluation, and competitive intelligence was outlined.The idea of in-depth and wide application of the simulation method in this discipline with the development of big data and metaverse technologies was put forwarded. [Originality/Value] Through systematically summarisionof the existing research on the application of simulation methods in the discipline of Library and Information Science , the direction of future research was clarified combined with new scenarios in the new era, which has certain reference value for researchers.",Simulation; Library and Information Science; Multi-agent; System dynamics; Data driven; Metaverse,"Wu Jiang, Huang Xiao, Zhu Hou, He Chaocheng",2022,Journal article,Knowledge Of Library And Information Science,Simulation,Social Computing,Multi-agent,Social Interaction,Game Theory,Theoretical Analysis,Mixed,Metaverse,Models,Validation Environment
60,The 3rd International Workshop on Deep Learning for the Web of Things,"Deep learning and the Web of Things (WoT) have become powerful tools for web engineering, leading to increased investigation and publication of research related to deep learning in web engineering. Therefore, this workshop is titled 'The 3rd International Workshop on Deep Learning for the Web of Things' for the Web Conference 2023 (WWW’23). This workshop features five research articles: (1) 'Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses', (2) 'Web 3.0: Future of the Internet', (3) 'Weighted Statistically Significant Pattern Mining', (4) 'DSNet: Efficient Lightweight Model for Video Salient Object Detection for IoT and WoT Applications', and (5) 'The Human-Centric Metaverse: A Survey'.","Deep Learning, Web of Things, Machine learning, Internet of Things","Cheng Shi, Chin-Chen Chang, Eyhab Al-Masri, Abel C. H. Chen, Haishuai Wang, Qichun Zhang, Hsiao-Ting Tseng, K. Shankar, Taehong Kim",2023,Workshop Paper,ACM Web Conference 2023 Companion Proceedings,Blockchain,Industrial Systems,Other,Social Interaction,Reinforcement Learning,Case Studies,Quantitative,Metaverse,System Design,Subjectivity
61,Understanding the Interplay of Model Complexity and Fidelity in Multiagent Systems via an Evolutionary Framework,"Modern video games come with highly realistic graphics enabling the players to interact with visually rich virtual worlds. Realistic (life-like) animation of nonplayer characters (NPCs) in such virtual worlds is particularly important to enhance the gaming experience. Multiagent systems are one effective approach to synthesize life-like behaviors and interactions by codifying simple rules into NPCs (each NPC as an autonomous agent). However, such behaviors generally come at the cost of increasing computational expense and complexity in terms of aspects such as number of rules and parameters. Therefore, the desire for high fidelity (highly realistic) behaviors is often in conflict with the drive for low complexity. Multiobjective evolutionary algorithms provide a sophisticated mechanism to optimize two or more conflicting objectives simultaneously. However, evolutionary computing techniques need an appropriate objective function to drive the exploration in the correct direction. Pairing of evolutionary techniques and multiagent systems is challenging in the classes of problems in which the fitness is evaluated based on human aesthetic judgment rather than on objective forms of measurements. In this study, we present a multiobjective evolutionary framework to evolve low complexity and high fidelity multiagent systems by utilizing a machine learning system trained by bootstrapping human aesthetic judgment. We have gathered empirical data in three problem areas—simulation of conversational group dynamics, sheepdog herding behaviors, and traffic dynamics, and show the effectiveness of our approach in deriving low complexity and high fidelity multiagent systems. Further, we have identified common properties of the Pareto-optimal frontiers in the three problem areas that can ultimately lead to an understanding of a relationship between simulation model complexity and behavior fidelity. This understanding will be useful in deciding which level of behavioral fidelity is required for the characters in video games based on the distance to the camera, importance to the scene, and available computational resources.","Complexity, fidelity, level of detail artificial intelligence (LOD AI), multiagent systems, multiobjective optimization","Erandi Lakshika, Michael Barlow, Adam Easton",2017,Journal article,IEEE Transactions On Computational Intelligence And Ai In Games,Simulation,Simulation,Multi-agent,Social Interaction,Game Theory,Quantitative Metrics,Quantitative,Resource Management,System Design,Subjectivity
62,UAV-Assisted Dynamic Avatar Task Migration for Vehicular Metaverse Services: A Multi-Agent Deep Reinforcement Learning Approach,"Avatars, as promising digital representations and service assistants of users in Metaverses, can enable drivers and passengers to immerse themselves in 3D virtual services and spaces of UAV-assisted vehicular Metaverses. However, avatar tasks include a multitude of human-to-avatar and avatar-to-avatar interactive applications, e.g., augmented reality navigation, which consumes intensive computing resources. It is inefficient and impractical for vehicles to process avatar tasks locally. Fortunately, migrating avatar tasks to the nearest roadside units (RSU) or unmanned aerial vehicles (UAV) for execution is a promising solution to decrease computation overhead and reduce task processing latency, while the high mobility of vehicles brings challenges for vehicles to independently perform avatar migration decisions depending on current and future vehicle status. To address these challenges, in this paper, we propose a novel avatar task migration system based on multi-agent deep reinforcement learning (MADRL) to execute immersive vehicular avatar tasks dynamically. Specifically, we first formulate the problem of avatar task migration from vehicles to RSUs/UAVs as a partially observable Markov decision process that can be solved by MADRL algorithms. We then design the multi-agent proximal policy optimization (MAPPO) approach as the MADRL algorithm for the avatar task migration problem. To overcome slow convergence resulting from the curse of dimensionality and non-stationary issues caused by shared parameters in MAPPO, we further propose a transformer-based MAPPO approach via sequential decision-making models for the efficient representation of relationships among agents. Finally, to motivate terrestrial or non-terrestrial edge servers (e.g., RSUs or UAVs) to share computation resources and ensure traceability of the sharing records, we apply smart contracts and blockchain technologies to achieve secure sharing management. Numerical results demonstrate that the proposed approach outperforms the MAPPO approach by around 2% and effectively reduces approximately 20% of the latency of avatar task execution in UAV-assisted vehicular Metaverses.","Avatar, blockchain, metaverses, multi-agent deep reinforcement learning, transformer, UAVs","Jiawen Kang, Junlong Chen, Minrui Xu, Zehui Xiong, Yutao Jiao, Luchao Han, Dusit Niyato, Yongju Tong, Shengli Xie",2024,Journal Article,Ieee/caa Journal Of Automatica Sinica,Infrastructure,Artificial Intelligence,Multi-agent,Network Infrastructure,Reinforcement Learning,Comparative Analysis,Quantitative,Resource Management,Models,Validation Environment
63,Vectorial-Opinion Dynamics With Familiarity Neighborhoods in Virtual Social Groups,"In this work, we mimic interactions among agents on social networks and examine their impact on the evolution of agents’ opinions. Each agent is entitled to an opinion represented by unit vectors of varying orientation. Agents are also characterized based on their inclination to alter their opinion and their susceptibility to the influence of peers with contrasting opinions. The agents constitute the nodes of a directed and time-varying influence network whose edges form their respective familiarity neighborhoods and govern their interactions. We also devise an interpersonal influence score to quantify the strength of the influence and the probability of acquisition, retention, or loss of a tie. This characterization of agents’ behavior and their interpersonal relationships differs from traditional bounded-confidence models based on the agreement in opinions alone. The agents with different traits form groups—liberal and conservative—distinguished by the distribution in opinions of their constituents. We analyze their interactions with different initial opinions, group compositions, network structures, and network evolution rates through simulations. The results reveal that flexible agents facilitate consensus among group members, while stubborn agents are instrumental in forming opinion clusters. This is substantiated by observing the average connectedness of the influence network and the average number of opinion clusters; groups with mostly flexible agents have better connectedness and fewer clusters than groups with stubborn agents in a majority. The simulations with stubborn agents reveal that new ties among agent pairs do not facilitate group consensus.","Influence dynamics, multiagent systems, opinion consensus, opinion neighborhood, social networks","Narayani Vedam, Debasish Ghose",2022,Journal article,IEEE Transactions On Computational Social Systems,Social,Social Computing,Multi-agent,Social Interaction,Game Theory,Quantitative Metrics,Quantitative,Network,Dynamic Adaptability,Validation Environment
64,VRRC: Empowering Metaverse-Infused Driving Experience for Multiplatoon Vehicles Through IoRT,"The emergence of metaverse applications and services heralds a new era of immersive driving experiences in future vehicular ad hoc networks (VANETs). This unprecedented metaverse-infused driving experience, however, requires high-throughput transmissions for real-time high-quality 360° video streaming, which challenges today’s limited bandwidth resources provisioned by wireless communication infrastructure. To this end, this article introduces virtual road, real connection (VRRC), a novel framework for enhancing the metaverse-infused driving experience in VANET through the Internet of Robotic Things (IoRT). In the face of limited bandwidth resources, VRRC effectively addresses the challenge of high-throughput demand from two key perspectives. First, VRRC reduces redundant transmission by implementing a graph neural network (GNN)-based vehicle clustering method for dynamic multicast group formation, taking into account both the geographical status of vehicles and their communication patterns. Second, VRRC aggregates bandwidth resources across various channels by employing a multiagent reinforcement learning (MARL)-based multipath packet scheduling policy to adapt to heterogeneous channel conditions and dynamic vehicular mobility. Extensive experiments with real-world vehicular traces validate the effectiveness of VRRC and demonstrate its outperformance in reducing redundant traffic by 54% and improving overall throughput by 28%. VRRC represents a substantial leap forward in the integration of the metaverse experience into VANET.","Graph neural networks (GNNs), metaverse, multipath TCP (MPTCP), reinforcement learning, vehicular ad hoc network (VANET)","Zeyu Luan, Yong Jiang, Jianhui Lv, Bo Yi, Kejun Li",2024,Journal Article,IEEE Internet Of Things Journal,Simulation,Artificial Intelligence,Hierarchical / Multi-layer,Network Infrastructure,Reinforcement Learning,Quantitative Metrics,Quantitative,Network,Dynamic Adaptability,Validation Environment
65,When Metaverses Meet Vehicle Road Cooperation: Multiagent DRL-Based Stackelberg Game for Vehicular Twins Migration,"Vehicular metaverses represent emerging paradigms arising from the convergence of vehicle road cooperation, metaverse, and Augmented Intelligence of Things. Users engaging with vehicular metaverses (VMUs) gain entry by consistently updating their vehicular twins (VTs), which are deployed on roadside units (RSUs) in proximity. The constrained RSU coverage and the consistently moving vehicles necessitate the continuous migration of VTs between RSUs through vehicle road cooperation, ensuring uninterrupted immersion services for VMUs. Nevertheless, the VT migration process faces challenges in obtaining adequate bandwidth resources from RSUs for timely migration, posing a resource trading problem among RSUs. In this article, we tackle this challenge by formulating a game-theoretic incentive mechanism with multileader multifollower, incorporating insights from social-awareness and queueing theory to optimize VT migration. To validate the existence and uniqueness of the Stackelberg equilibrium (SE), we apply the backward induction method. Theoretical solutions for this equilibrium are then obtained through the alternating direction method of multipliers (ADMMs) algorithm. Moreover, owing to incomplete information caused by the requirements for privacy protection, we proposed a multiagent deep reinforcement learning algorithm named multiagent long short-term memory-based proximal policy optimization (MALPPO). MALPPO facilitates learning the SE without requiring private information from others, relying solely on past experiences. Comprehensive experimental results demonstrate that our MALPPO-based incentive mechanism outperforms baseline approaches significantly, showcasing rapid convergence and achieving the highest reward.","Alternating direction method of multiplier (ADMM), deep reinforcement learning (DRL), metaverse, multileader multifollower Stackelberg game, vehicle road cooperation","Jiawen Kang, Junhong Zhang, Helin Yang, Dongdong Ye, M. Shamim Hossain",2024,Journal article,IEEE Internet Of Things Journal,Infrastructure,Industrial Systems,Other,Transportation,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Multi-Agent Interaction,Validation Environment
66,Towards parallel Metaverse: symbiosis of physical and virtual worlds based on Cybertwin-enabled 6G,"This paper proposes a bi-model Parallel Symbiotic Metaverse (PSM) system leveraging Cybertwin-enabled 6G to synchronize physical and virtual worlds. It addresses challenges in resource scheduling and service response through queue and service models, enhancing efficiency and reducing operational costs.","Metaverse, Cybertwin-enabled 6G, Internet of Things (IoT), Multiple-access Edge Computing (MEC), Symbiosis of physical and virtual worlds","Kaiyue Luo, Yumei Wang, Yu Liu, Jiake Li, Jishiyu Ding et al.",2025,Journal Article,Digital Communications And Networks,Infrastructure,Industrial Systems,Other,Transportation,Game Theory,Quantitative Metrics,Quantitative,Network,System Design,Validation Environment
67,A Bayesian Framework-Based Digital Twin Wireless System Control,"Commonly adopted in the manufacturing and aerospace sectors, digital twin (DT) platforms are increasingly seen as a promising paradigm to control, monitor, and analyze software-based, &#x201C;open&#x201D;, communication systems that are expected to dominate 6G deployments. Notably, DT platforms provide a sandbox in which to test artificial intelligence (AI) solutions for communication systems, potentially reducing the need to collect data and test algorithms in the field, i.e., on the physical twin (PT). A key challenge in the deployment of DT systems is to ensure that virtual control optimization, monitoring, and analysis at the DT are safe and reliable, avoiding incorrect decisions caused by &#x201C;model exploitation&#x201D;. To address this challenge, this paper presents a general Bayesian framework with the aim of quantifying and accounting for model uncertainty at the DT that is caused by limitations in the amount and quality of data available at the DT from the PT. In the proposed framework, the DT builds a Bayesian model of the communication system, which is leveraged to enable core DT functionalities such as control via multi-agent reinforcement learning (MARL), monitoring of the PT for anomaly detection, prediction, data-collection optimization, and counterfactual analysis. To exemplify the application of the proposed framework, we specifically investigate a case-study system encompassing multiple sensing devices that report to a common receiver. Experimental results validate the effectiveness of the proposed Bayesian framework as compared to standard frequentist model-based solutions.","Digital Twin, 6G, Reinforcement Learning, Bayesian Learning, Model-Based Learning","tClement Ruah, Osvaldo Simeone, Bashir M. Al-Hashimi",2023,Journal,IEEE Journal On Selected Areas In Communications,Simulation,Artificial Intelligence,Digital Twin,Network Infrastructure,Reinforcement Learning,Quantitative Metrics,Quantitative,Multi-Agent Collaboration,Models,Validation Environment
68,"A Virtual Laboratory for Multiagent Systems: Joining Efficacy, Learning Analytics and Student Satisfaction","This study introduces a distributed virtual laboratory for a multiagent programming course which has been very satisfactorily adopted by students, with a success rate of nearly 80%. It also aims at capturing the daily activity of students, providing the basis for data-driven assessment. Finally, it also allows for using process mining technologies to unveil successful and failed behaviors of students enabling the teacher for an early detection and intervention to improve their learning experience.","Augmented Environment, Robot Operating System, Multi-Agent Architecture, Time-Triggered Architecture",Luis Castillo,2016,Conference Paper,International Symposium On Computers In Education,Simulation,Artificial Intelligence,Multi-agent,Network Infrastructure,Reinforcement Learning,Quantitative Metrics,Quantitative,Metaverse,Dynamic Adaptability,Validation Environment
69,Deep Reinforcement Learning-based Stackelberg Game for Energy Trading in Power Grid Metaverses,"Metaverses are a virtual space that has revolutionized many fields, such as healthcare and education. By integrating metaverses with power grids, power grid metaverses are regarded as a digital representation of the power grid infrastructure, giving rise to some potential applications, such as visualization and monitoring of energy trading. Energy balancing is essential to ensure that the supply of electricity matches the demand. Power grid metaverses can be used to identify potential imbalances between supply and demand and execute energy trading in real time, ensuring the proper functioning of smart grids. However, without reliable incentives, energy trading may not be conducted effectively. Considering the energy trading between EVCOs (EVCOs) and EMs (EMs), we propose a Stackelberg game model where the EM acts as the leader, setting the electric energy price, while EVCOs follow. We utilize a soft actor-critic algorithm to identify the Stackelberg equilibrium, addressing non-stationary challenges through the design of a partially observable policy, definition of the action space, and formulation of the reward function. Numerical results demonstrate that the proposed algorithm effectively achieves the Stackelberg equilibrium, indicating the robustness of our approach.","Metaverse, power grid, Stackelberg game, deep reinforcement learning","Gu Yanxun, Hu Lieliang, Lin Xiaoming, Li Daquan, Liu Min, Zhao Jia",2024,Conference Paper,IEEE Smart World Congress (swc),Simulation,Artificial Intelligence,Hierarchical / Multi-layer,Network Infrastructure,Game Theory,Quantitative Metrics,Quantitative,Resource Management,Security,Validation Environment
